Candidato;Bairro;Votos;;;;;
C  VAGNER;CENTRO;9.273;;;;;
C  VAGNER;CIDADE DOS FUNCIONÁRIOS;5.754;;;;;
C  VAGNER;CIDADE 2000;2.696;;;;;
C  VAGNER;COAÇU;1.178;;;;;
C  VAGNER;CONJUNTO CEARÁ I;21.998;;;;;
C  VAGNER;CONJUNTO ESPERANÇA;9.241;;;;;
C  VAGNER;CONJUNTO PALMEIRAS;8.340;;;;;
C  VAGNER;CRISTO REDENTOR;11.216;;;;;
C  VAGNER;DAMAS;1.305;;;;;
C  VAGNER;DE LOURDES;3.297;;;;;
C  VAGNER;DEMOCRITO ROCHA;4.303;;;;;
C  VAGNER;DIAS MACEDO;3.313;;;;;
C  VAGNER;DIONISIO TORRES;5.072;;;;;
C  VAGNER;DOM LUSTOSA;3.923;;;;;
C  VAGNER;EDSON QUEIROZ;12.506;;;;;
C  VAGNER;ENGENHEIRO LUCIANO CAVALCANTE;5.113;;;;;
C  VAGNER;FARIAS BRITO;2.100;;;;;
C  VAGNER;FÁTIMA;4.776;;;;;
C  VAGNER;FLORESTA;2.311;;;;;
C  VAGNER;GRANJA LISBOA;10.182;;;;;
C  VAGNER;GRANJA PORTUGAL;11.633;;;;;
C  VAGNER;GUAJIRU;2.022;;;;;
C  VAGNER;HENRIQUE JORGE;9.851;;;;;
C  VAGNER;ITAOCA;43;;;;;
C  VAGNER;ITAPERI;5.281;;;;;
C  VAGNER;JACARECANGA;8.494;;;;;
C  VAGNER;JANGURUSSU;10.607;;;;;
C  VAGNER;JARDIM AMÉRICA;3.067;;;;;
C  VAGNER;JARDIM CEARENSE;1.152;;;;;
C  VAGNER;JARDIM DAS OLIVEIRAS;7.716;;;;;
C  VAGNER;JARDIM GUANABARA;2.526;;;;;
C  VAGNER;JARDIM IRACEMA;8.087;;;;;
C  VAGNER;JOÃO XXIII;5.824;;;;;
C  VAGNER;JOAQUIM TÁVORA;3.415;;;;;
C  VAGNER;JÓQUEI CLUBE;3.668;;;;;
C  VAGNER;JOSÉ BONIFÁCIO;2.608;;;;;
C  VAGNER;JOSÉ DE ALENCAR;2.372;;;;;
C  VAGNER;LAGOA REDONDA;6.113;;;;;
C  VAGNER;MANUEL SÁTIRO;8.402;;;;;
C  VAGNER;MARAPONGA;3.714;;;;;
C  VAGNER;MEIRELES;7.901;;;;;
C  VAGNER;MESSEJANA;18.815;;;;;
C  VAGNER;MONDUBIM;14.612;;;;;
C  VAGNER;MONTE CASTELO;6.958;;;;;
C  VAGNER;MONTESE;8.811;;;;;
C  VAGNER;MOURA BRASIL;598;;;;;
C  VAGNER;MUCURIPE;6.113;;;;;
C  VAGNER;PADRE ANDRADE;3.367;;;;;
C  VAGNER;PAN AMERICANO;3.525;;;;;
C  VAGNER;PAPICU;4.411;;;;;
C  VAGNER;PARANGABA;12.052;;;;;
C  VAGNER;PARQUE DOIS IRMÃOS;5.412;;;;;
C  VAGNER;PARQUE GENIBAÚ;4.571;;;;;
C  VAGNER;PARQUE MANIBURA;1.456;;;;;
C  VAGNER;PARQUE PRESIDENTE VARGAS;3.558;;;;;
C  VAGNER;PARQUE SANTA MARIA;4.318;;;;;
C  VAGNER;PARQUE SANTA ROSA;996;;;;;
C  VAGNER;PARQUE SÃO JOSÉ;1.910;;;;;
C  VAGNER;PARQUELÂNDIA;6.308;;;;;
C  VAGNER;PASSARÉ;10.746;;;;;
C  VAGNER;PAUPINA;3.603;;;;;
C  VAGNER;PEDRAS;1.676;;;;;
C  VAGNER;PICI;3.421;;;;;
C  VAGNER;PLANALTO AYRTON SENNA;6.712;;;;;
C  VAGNER;PRAIA DE IRACEMA;3.145;;;;;
C  VAGNER;PRAIA DO FUTURO II;705;;;;;
C  VAGNER;PREFEITO JOSÉ WALTER;16.985;;;;;
C  VAGNER;PRESIDENTE KENNEDY;5.671;;;;;
C  VAGNER;QUINTINO CUNHA;9.893;;;;;
C  VAGNER;RODOLFO TEÓFILO;4.689;;;;;
C  VAGNER;SABIAGUABA;277;;;;;
C  VAGNER;SÃO GERARDO;3.979;;;;;
C  VAGNER;SÃO JOÃO DO TAUAPE;5.826;;;;;
C  VAGNER;SAPIRANGA;4.261;;;;;
C  VAGNER;SERRINHA;9.392;;;;;
C  VAGNER;SIQUEIRA;7.191;;;;;
C  VAGNER;VARJOTA;4.862;;;;;
C  VAGNER;VICENTE PINZON;7.142;;;;;
C  VAGNER;VILA ELLERY;2.289;;;;;
C  VAGNER;VILA PERI;7.217;;;;;
C  VAGNER;VILA UNIÃO;6.009;;;;;
C  VAGNER;VILA VELHA;15.583;;;;;
